Label,Count,Percentage
neutral,14219,27.82419818797331
admiration,4130,8.081717316008845
approval,2939,5.751130070641645
gratitude,2662,5.20908752910788
annoyance,2470,4.833375731366065
amusement,2328,4.555505547619513
curiosity,2191,4.2874195252724885
love,2086,4.0819521358824336
disapproval,2022,3.956714869968495
optimism,1581,3.0937518345302624
anger,1567,3.0663561826115884
joy,1452,2.84132047042248
confusion,1368,2.6769465589104358
sadness,1326,2.594759603154414
disappointment,1269,2.483220163199812
realization,1110,2.1720838306948713
caring,1087,2.1270766882570493
surprise,1060,2.0742422166996066
excitement,853,1.6691779347592117
disgust,793,1.5517679979648944
desire,641,1.2543294914192904
fear,596,1.1662720388235523
remorse,545,1.0664735925483826
embarrassment,303,0.5929201808113027
nervousness,164,0.3209204939044675
relief,153,0.2993953388255093
pride,111,0.21720838306948712
grief,77,0.15067608555270728
